volume,journal_name
13,Zhonghua shi yan he lin chuang bing du xue za zhi = Zhonghua shiyan he linchuang bingduxue zazhi = Chinese journal of experimental and clinical virology
3,Zhonghua shi yan he lin chuang bing du xue za zhi = Zhonghua shiyan he linchuang bingduxue zazhi = Chinese journal of experimental and clinical virology
20,Brazilian oral research
4,Brazilian oral research
48,Arquivos brasileiros de cardiologia
1,Arquivos brasileiros de cardiologia
75,Molecular and Cellular Biochemistry
2012,International Journal of Endocrinology
64,Research publications - Association for Research in Nervous and Mental Disease
294,Studies in health technology and informatics
17,Cell stem cell
2,Cell stem cell
3,Pediatriia
95,Advances in clinical chemistry
35,American journal of human genetics
3,American journal of human genetics
78,Proceedings of the Society for Experimental Biology and Medicine
53,Current Sociology
97,The Journal of Laryngology & Otology
958,The Astrophysical Journal
34,Journal of Pineal Research
39,Nihon rinsho. Japanese journal of clinical medicine
11,Nihon rinsho. Japanese journal of clinical medicine
57,Acta Pædiatrica
23,Journal of Correctional Health Care
24,The Enzymes
abs/2408.08848,ArXiv
8,The Journal of surgical research
3,The Journal of surgical research
161,Military medicine
12,Military medicine
64,Nederlandsch tijdschrift voor verloskunde en gynaecologie
26,Buffalo Medical and Surgical Journal
23,Fa yi xue za zhi
1,Fa yi xue za zhi
84,Revista clinica espanola
154,JAMA dermatology
6,JAMA dermatology
195,Environmental Monitoring and Assessment
89,Journal of Southern History
11,Journal of Pediatric Gastroenterology and Nutrition
305,American journal of physiology. Endocrinology and metabolism
8,American journal of physiology. Endocrinology and metabolism
70,IEEE Transactions on Communications
2015,Bioinorganic Chemistry and Applications
5086,Zootaxa
1,Zootaxa
15,Exploratory Research in Clinical and Social Pharmacy
28,Cell Research
13,Nature Reviews Gastroenterology &Hepatology
8,Herz
6,Herz
156,Wiener Medizinische Wochenschrift
25,Australian health review : a publication of the Australian Hospital Association
5,Australian health review : a publication of the Australian Hospital Association
1166,"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences"
54,IEEE Transactions on Circuits and Systems I: Regular Papers
19,Review of Radical Political Economics
8,BMJ Open
70,Kyobu geka. The Japanese journal of thoracic surgery
11,Kyobu geka. The Japanese journal of thoracic surgery
30,Klinika oczna
7,Angiologica
3,Angiologica
5,IPSJ Trans. Syst. LSI Des. Methodol.
46,Chemical communications
10,Chemical communications
54,Chemical communications
14,Chemical communications
12,BMC Health Services Research
45,Zoological Research
3,Journal of biochemical and biophysical methods
6,Journal of biochemical and biophysical methods
143,Science
3608,Science
1,Blood Science
3,Theology
48,Arquivos brasileiros de endocrinologia e metabologia
6,Arquivos brasileiros de endocrinologia e metabologia
13,International Breastfeeding Journal
36,The journal of extra-corporeal technology
4,The journal of extra-corporeal technology
110,"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association"
5,"Experimental and clinical endocrinology & diabetes : official journal, German Society of Endocrinology [and] German Diabetes Association"
6,"Geological Society, London, Engineering Geology Special Publications"
104,The Journal of Physiology
150,Cytogenetic and Genome Research
2,Nurse author & editor
3,Nurse author & editor
4,Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale
4,Acta otorhinolaryngologica Italica : organo ufficiale della Societa italiana di otorinolaringologia e chirurgia cervico-facciale
5,ACS biomaterials science & engineering
12,ACS biomaterials science & engineering
187,Cell
